column,selectivity,threshold,method,run,time_ms
l_shipdate,27.8%,date '1994-04-01',rabit,1,34.000
l_shipdate,27.8%,date '1994-04-01',rabit,2,33.000
l_shipdate,27.8%,date '1994-04-01',rabit,3,34.000
l_shipdate,27.8%,date '1994-04-01',rabit,4,33.000
l_shipdate,27.8%,date '1994-04-01',rabit,5,32.000
l_shipdate,43.0%,date '1995-01-01',rabit,1,35.000
l_shipdate,43.0%,date '1995-01-01',rabit,2,34.000
l_shipdate,43.0%,date '1995-01-01',rabit,3,34.000
l_shipdate,43.0%,date '1995-01-01',rabit,4,32.000
l_shipdate,43.0%,date '1995-01-01',rabit,5,33.000
l_shipdate,73.4%,date '1996-06-01',rabit,1,37.000
l_shipdate,73.4%,date '1996-06-01',rabit,2,35.000
l_shipdate,73.4%,date '1996-06-01',rabit,3,36.000
l_shipdate,73.4%,date '1996-06-01',rabit,4,36.000
l_shipdate,73.4%,date '1996-06-01',rabit,5,37.000
l_tax,11.1%,0.01,plain,1,115.000
l_tax,11.1%,0.01,plain,2,112.000
l_tax,11.1%,0.01,plain,3,112.000
l_tax,11.1%,0.01,plain,4,113.000
l_tax,11.1%,0.01,plain,5,112.000
l_tax,22.2%,0.02,plain,1,115.000
l_tax,22.2%,0.02,plain,2,112.000
l_tax,22.2%,0.02,plain,3,112.000
l_tax,22.2%,0.02,plain,4,111.000
l_tax,22.2%,0.02,plain,5,113.000
l_tax,44.4%,0.04,plain,1,115.000
l_tax,44.4%,0.04,plain,2,110.000
l_tax,44.4%,0.04,plain,3,112.000
l_tax,44.4%,0.04,plain,4,109.000
l_tax,44.4%,0.04,plain,5,113.000
l_tax,66.7%,0.06,plain,1,111.000
l_tax,66.7%,0.06,plain,2,115.000
l_tax,66.7%,0.06,plain,3,108.000
l_tax,66.7%,0.06,plain,4,112.000
l_tax,66.7%,0.06,plain,5,113.000
l_tax,88.9%,0.08,plain,1,111.000
l_tax,88.9%,0.08,plain,2,111.000
l_tax,88.9%,0.08,plain,3,112.000
l_tax,88.9%,0.08,plain,4,111.000
l_tax,88.9%,0.08,plain,5,109.000
l_tax,11.1%,0.01,sketch,1,116.000
l_tax,11.1%,0.01,sketch,2,110.000
l_tax,11.1%,0.01,sketch,3,110.000
l_tax,11.1%,0.01,sketch,4,110.000
l_tax,11.1%,0.01,sketch,5,109.000
